Country,Year,SuicidesNo,Population,Suicides/100kPop,GdpPerCapital($)
Albania,456228,1766,54048467,827.05,462012
Antigua and Barbuda,528612,11,1687321,179.14,3045792
Argentina,624780,71060,897040831,3177.0699999999965,2722164
Armenia,576672,1838,74948140,935.6500000000001,520548
Aruba,336720,101,1259677,1596.5199999999998,4069236
Australia,600720,59804,467076286,3801.9599999999978,10937400
Austria,624780,38824,200687119,6983.549999999996,11678736
Azerbaijan,383544,1656,111790300,356.2400000000002,192984
Bahamas,504756,89,6132448,325.93,6846696
Bahrain,433188,429,15634426,396.64,4200336
Barbados,480552,128,5046591,632.25,3237372
Belarus,504276,59892,197372292,7831.129999999998,840144
Belgium,624780,52124,256786121,6357.360000000001,11044656
Belize,600876,340,5845058,2037.550000000001,1276044
Bosnia and Herzegovina,48300,318,7327481,110.81,121860
Brazil,624780,204513,4242744179,1858.8799999999994,2116188
Bulgaria,600600,29120,189987558,5544.400000000006,1153152
Cabo Verde,24132,42,452179,133.84,49488
Canada,576432,90041,706806083,3456.459999999999,9621264
Chile,624780,37443,372001992,3437.0299999999993,2664144
Colombia,624780,48427,971355204,1759.22,1298412
Costa Rica,600600,6109,90225788,2135.109999999999,1708536
Croatia,505260,17746,88163308,5769.28,2584188
Cuba,577008,41418,251790133,6111.9500000000035,1253136
Cyprus,337356,376,10896118,539.1099999999999,4673964
Czech Republic,624780,42369,255176598,5791.229999999994,3787944
Denmark,529188,15297,112182219,3721.6499999999965,13015176
Ecuador,624780,18603,303256271,1977.9499999999994,1114632
El Salvador,576672,11683,124683698,3035.940000000002,734592
Estonia,505260,7034,27090810,6873.780000000001,2866776
Fiji,264816,304,8187391,673.8600000000001,516552
Finland,624780,29499,128023658,6849.359999999999,11515092
France,600600,268622,1411260275,6146.300000000003,10339776
Georgia,528708,3224,93598800,1116.379999999999,499788
Germany,624780,291262,2024875612,4854.689999999999,10971240
Greece,624780,10374,269121805,1215.0300000000007,5916372
Grenada,528852,29,2013794,524.0300000000001,1721256
Guatemala,624780,7379,276531725,963.4699999999996,764028
Guyana,552432,3276,15285591,6379.119999999997,487920
Hungary,600900,72130,240253886,9914.729999999994,2770236
Iceland,624780,906,7009931,3877.480000000003,13090080
Ireland,600600,11227,92912386,3355.4700000000003,11723424
Israel,624780,9855,153658288,2659.57,7979712
Italy,624780,109371,1442960504,2540.4300000000003,9079548
Jamaica,288384,157,29121884,84.85,578904
Japan,624780,690809,3109253644,6557.779999999997,12269064
Kazakhstan,624780,101546,377513869,9519.519999999995,1662684
Kiribati,263472,53,741606,878.5100000000002,115620
Kuwait,528924,917,52500391,324.5200000000001,7863396
Kyrgyzstan,624780,13090,115174187,4457.300000000004,224868
Latvia,505260,12770,44852640,7373.350000000004,2258196
Lithuania,505260,27217,65639914,10227.159999999998,2274084
Luxembourg,624780,1636,11205256,5010.059999999994,24209208
Macau,23928,27,346542,171.74000000000004,216972
Maldives,240612,20,2900246,164.08,610668
Malta,624780,549,9642203,1722.1999999999994,4906116
Mauritius,624780,3213,27868777,3562.3900000000003,1882668
Mexico,624780,102612,2427316559,1535.3699999999997,2506440
Montenegro,240540,472,5834863,1194.0299999999997,503472
Netherlands,624780,41046,392245915,3180.179999999998,12208668
New Zealand,576432,12219,87872430,4069.840000000002,7022400
Nicaragua,144900,2013,31742633,472.82000000000005,146076
Norway,624780,14396,112229487,3897.1900000000023,19484712
Oman,72396,33,8987087,26.5,746664
Panama,481320,3103,60268470,1449.5499999999995,1795296
Paraguay,552780,4535,111675969,1228.26,712056
Philippines,360432,21330,1065068179,435.83000000000004,277236
Poland,576840,139098,866180029,4397.620000000002,2346180
Portugal,528420,19611,214400898,2903.6100000000006,4297608
Puerto Rico,624780,7551,89452125,2981.4500000000003,6373008
Qatar,337320,506,19657424,301.7199999999998,11435808
Republic of Korea,624780,245310,1164700936,8696.269999999999,5254680
Romania,624780,68295,537076558,3897.4500000000007,1476468
Russian Federation,624780,1171821,3555358820,10906.310000000003,2067216
Saint Kitts and Nevis,71676,0,117300,0.0,198900
Saint Lucia,576516,196,3457654,1947.6299999999994,1798020
Saint Vincent and Grenadines,529140,122,2165026,1693.84,1422780
San Marino,72048,4,78825,145.62,1931892
Serbia,433404,24179,126140138,4787.450000000001,965796
Seychelles,361440,86,1219816,1375.5400000000002,2171508
Singapore,624780,8378,82280341,4675.1500000000015,13581984
Slovakia,528696,13437,111833713,3318.1599999999994,2778864
Slovenia,505260,10615,40268619,7012.619999999997,4697844
South Africa,481320,7321,873130762,231.48999999999998,1341480
Spain,624780,86182,1045677695,2898.3900000000003,7299408
Sri Lanka,216024,44628,154567226,3570.4399999999996,108744
Suriname,552756,1890,9970928,5805.949999999998,1301868
Sweden,624780,31955,221366579,4407.959999999997,13343808
Switzerland,505260,26217,149994010,4794.070000000002,15871404
Thailand,576852,97711,1389346962,2049.0800000000004,1092420
Trinidad and Tobago,528132,3450,25929597,3743.760000000002,2567496
Turkey,169008,10131,482640582,199.17000000000004,1019280
Turkmenistan,624780,7829,106792418,2523.3400000000015,876936
Ukraine,600624,289262,1143783384,8034.580000000002,571620
United Arab Emirates,144540,622,36502275,94.88999999999997,3035664
United Kingdom,624780,112935,1472666135,2244.909999999998,11042256
United States,624780,882286,6928363201,4202.790000000001,13292268
Uruguay,552852,11719,70174743,5662.529999999997,2411760
Uzbekistan,528348,34803,486422532,2138.1700000000005,257712
